State_name,Total_Tax_Per_Capita,%_of_Pers_Income,Total_Expenditure,Elementary and Secondary Education Per,HIgher_Education,Welfare,Hospitals,Highways,Police,Other,Population,GDP per capita,,General Fund,Federal Fund,Total,Elementary_and_Secondary_Education_Ratio,HIgher_Education_Ratio,Welfare_Ratio,Hospitals_Ratio,Highways_Ratio,Police_Ratio,Other_Ratio,Total_Infrasture,Total_Economic,Total_Education,Total_Safety,Total_Health,Total_Score,Total Tax Per Capita,ROI
Alabama,2137,5.5,7629,"1,547","1,002","1,393","1,257",490,260,"1,680",4874747,36856,,8295,9885,26645,0.2028,0.1313,0.1826,0.1648,0.0642,0.0341,0.2202,4.740166524,9.126911809,4.414262257,9.487338941,6.348305211,34.1169847,"2,137",0.016
Alaska,1608,2.9,19965,"3,598","1,173","2,726","1,006","2,150",492,"8,820",739795,67705,,4486,3763,9744,0.1802,0.0588,0.1365,0.0504,0.1077,0.0246,0.4418,2.234424346,10.22368731,10.44663383,4.211068833,9.376641733,36.492456,"1,608",0.0227
Arizona,1979,5,6600,"1,134",802,"1,495",525,320,311,"2,013",7016270,38414,,9774,14765,42026,0.1718,0.1215,0.2265,0.0795,0.0485,0.0471,0.305,5.753660637,11.42036819,5.216983345,9.333076998,4.491068301,36.2151575,"1,979",0.0183
Arkansas,3168,8,7851,"1,686",860,"2,237",501,569,233,"1,765",3004279,36196,,5267,7875,25136,0.2147,0.1095,0.2849,0.0638,0.0725,0.0297,0.2248,2.965116279,7.763352813,5.450621628,8.889393274,7.580293923,32.6487779,"3,168",0.0103
California,3936,7,10514,"1,856",954,"2,637","1,124",424,426,"3,092",39536653,57328,,119291,95337,261217,0.1765,0.0907,0.2508,0.1069,0.0403,0.0405,0.2941,9.183175424,12.18164503,3.471733521,12.56243438,9.052110709,46.4510991,"3,936",0.0118
Colorado,2354,4.6,8668,"1,666",985,"1,439","1,017",510,337,"2,714",5607154,52622,,10497,9120,36530,0.1922,0.1136,0.166,0.1173,0.0588,0.0389,0.3131,6.360178007,8.526658232,14.27070138,12.34945651,11.25047025,52.7574644,"2,354",0.0224
Connecticut,4555,6.6,10457,"2,569",871,"2,073",638,529,332,"3,445",3588184,63747,,17763,6331,31719,0.2457,0.0833,0.1982,0.061,0.0506,0.0317,0.3294,7.113838644,8.826451251,15.63734459,16.9330206,8.630943903,57.141599,"4,555",0.0125
Delaware,3731,7.9,10254,"1,994","1,359","2,452",538,683,375,"2,853",961939,64040,,4106,2171,10675,0.1945,0.1325,0.2391,0.0525,0.0666,0.0366,0.2782,6.400373241,9.339480851,11.83157401,12.0391463,7.401451317,47.0120257,"3,731",0.0126
Florida,1917,4.2,7060,"1,317",509,"1,341",663,470,374,"2,386",20984400,39093,,30267,26326,76381,0.1865,0.0721,0.1899,0.0939,0.0666,0.053,0.338,7.001866207,9.456020511,9.682383298,11.28048059,4.743660051,42.1644107,"1,917",0.022
Georgia,2150,5.2,6637,"1,789",574,"1,177",719,321,251,"1,806",10429379,43913,,22597,14266,49649,0.2695,0.0865,0.1773,0.1083,0.0484,0.0378,0.2721,7.706718347,10.51352614,6.935960591,11.99380569,6.783458015,43.9334688,"2,150",0.0204
Hawaii,4924,9.8,9489,"1,397",759,"1,769",999,589,321,"3,655",1427538,50320,,8486,2571,14666,0.1472,0.08,0.1864,0.1053,0.0621,0.0338,0.3852,7.89477462,7.704879424,11.84752522,14.23708509,7.091439334,48.7757037,"4,924",0.0099
Idaho,2627,6.8,6407,"1,197",633,"1,413",549,536,258,"1,821",1716943,35467,,3255,2681,7471,0.1868,0.0988,0.2205,0.0857,0.0837,0.0403,0.2842,2.708871663,9.102366316,11.1592775,15.09187276,8.06739329,46.1297815,"2,627",0.0176
Illinois,2967,5.7,8930,"2,051",753,"1,634",501,745,390,"2,856",12802023,53432,,29424,14833,68003,0.2297,0.0843,0.183,0.0561,0.0834,0.0437,0.3198,10.19595177,9.485416769,11.12737509,13.51666523,7.735151451,52.0605603,"2,967",0.0175
Indiana,2708,6.3,7431,"1,477",887,"1,742",860,410,183,"1,874",6666818,44797,,15971,12421,31928,0.1988,0.1194,0.2344,0.1157,0.0552,0.0246,0.2522,4.313092162,7.630991107,10.48745015,12.77727807,9.496140018,44.7049515,"2,708",0.0165
Iowa,3101,6.8,9674,"2,050","1,264","1,980","1,243",836,241,"2,061",3145711,50086,,7258,6389,22687,0.2119,0.1307,0.2047,0.1285,0.0864,0.0249,0.213,1.871231697,5.537136558,14.44006568,15.21156134,7.415657819,44.4756531,"3,101",0.0143
Kansas,2806,6,8430,"1,950","1,119","1,383","1,020",654,273,"2,033",2913123,46890,,6277,3759,15573,0.2313,0.1327,0.1641,0.121,0.0776,0.0324,0.2412,1.542492105,6.302724007,13.25357729,10.80985722,10.56523697,42.4738876,"2,806",0.0151
Kentucky,2673,6.9,8426,"1,561",902,"2,451",649,675,151,"2,037",4454189,38603,,11075,12354,32802,0.1853,0.107,0.2909,0.077,0.0801,0.0179,0.2418,4.200401952,9.401213345,7.922120572,13.51136214,8.229050624,43.2641486,"2,673",0.0162
Louisiana,2371,5.6,8696,"1,727",669,"1,773",781,486,340,"2,920",4684333,44293,,9118,11159,28422,0.1986,0.0769,0.2039,0.0898,0.0559,0.0391,0.3358,5.36319265,9.620371363,1.941825006,7.549415606,8.586333961,33.0611386,"2,371",0.0139
Maine,3168,7.2,8350,"1,814",593,"2,224",467,707,193,"2,352",1335907,38450,,3346,2601,8248,0.2172,0.071,0.2663,0.0559,0.0847,0.0231,0.2817,4.453057709,6.372103294,15.07529909,17.48912952,4.418688481,47.8082781,"3,168",0.0151
Maryland,3569,6.2,9612,"2,126",992,"2,050",392,573,412,"3,067",6052177,54894,,17153,12971,43322,0.2212,0.1032,0.2133,0.0408,0.0596,0.0429,0.3191,12.29830606,9.968057358,13.11939948,12.82792652,11.4332971,59.6469865,"3,569",0.0167
Massachusetts,4012,6.3,10582,"2,291",766,"2,739",438,547,356,"3,443",6859819,64507,,28362,12401,55544,0.2165,0.0724,0.2588,0.0414,0.0517,0.0336,0.3254,10.84984209,9.803768231,17.42857143,17.22380301,10.79637369,66.1023585,"4,012",0.0165
Michigan,2874,6.5,8061,"1,687","1,107","1,650",859,368,247,"2,142",9962311,42631,,9882,20291,54385,0.2093,0.1373,0.2047,0.1066,0.0457,0.0306,0.2657,4.843525696,9.313535833,11.6823833,13.83708401,12.09465708,51.7711859,"2,874",0.018
Minnesota,4590,8.9,9613,"2,089",856,"2,570",578,808,337,"2,375",5576606,53380,,21103,10406,37468,0.2173,0.089,0.2673,0.0601,0.0841,0.0351,0.2471,5.293568763,7.905807903,16.56767535,17.11403664,6.413224445,53.2943131,"4,590",0.0116
Mississippi,2608,7.3,8442,"1,529",952,"1,956","1,343",538,245,"1,881",2984100,31633,,5645,7819,20374,0.1811,0.1128,0.2317,0.1591,0.0637,0.029,0.2228,4.88372093,9.963770692,2.578935022,11.34032235,11.55030737,40.3170564,"2,608",0.0155
Missouri,2044,4.8,7207,"1,670",668,"1,404",884,403,283,"1,895",6113532,42943,,9153,8186,25550,0.2317,0.0927,0.1948,0.1227,0.0559,0.0393,0.2629,4.494688487,7.835942626,10.99507389,10.08112443,7.589470819,40.9963003,"2,044",0.0201
Montana,2527,5.9,8459,"1,714",835,"1,522",420,935,295,"2,737",1050493,39686,,2333,2810,6957,0.2026,0.0987,0.1799,0.0497,0.1105,0.0349,0.3236,1.084553546,7.335294734,14.98475252,11.41254937,9.012364663,43.8295148,"2,527",0.0173
Nebraska,2658,5.3,8781,"2,206","1,144","1,422",775,743,228,"2,264",1920076,52878,,4329,3030,11867,0.2512,0.1303,0.1619,0.0883,0.0846,0.026,0.2578,1.286247488,5.647385256,13.83861131,14.28154922,9.753779895,44.8075732,"2,658",0.0169
Nevada,2877,6.7,6990,"1,391",512,"1,385",486,490,396,"2,332",2998039,43649,,3990,4393,13914,0.199,0.0732,0.1981,0.0695,0.0701,0.0567,0.3336,5.340941717,11.88646161,4.787239034,10.78750015,9.47017658,42.2723191,"2,877",0.0147
New Hampshire,1859,3.3,7860,"2,147",678,"1,623",145,565,303,"2,399",1342795,50456,,1512,2221,5933,0.2732,0.0863,0.2065,0.0184,0.0719,0.0385,0.3052,6.402526557,6.723712037,17.68660568,18.38381524,8.596848004,57.7935075,"1,859",0.0311
New Jersey,3590,5.9,10112,"2,951",718,"1,940",467,512,372,"3,152",9005644,56472,,33827,15172,59281,0.2918,0.071,0.1919,0.0462,0.0506,0.0368,0.3117,12.61915016,10.92050737,14.72249589,17.49808163,11.99063397,67.750869,"3,590",0.0189
New Mexico,2766,7.2,10084,"1,813","1,235","2,751",896,644,331,"2,413",2088070,41577,,6106,8105,19586,0.1798,0.1225,0.2728,0.0889,0.0639,0.0328,0.2393,3.619006603,10.99245485,2.380952381,4.939598912,9.117184295,31.049197,"2,766",0.0112
New York,4014,6.8,13033,"3,228",690,"3,110","1,079",568,486,"3,871",19849399,64093,,68080,52985,157015,0.2477,0.0529,0.2386,0.0828,0.0436,0.0373,0.297,18.58024691,10.66422922,8.549378372,16.32736021,9.534958469,63.6561732,"4,014",0.0159
North Carolina,2614,6.3,7433,"1,339",963,"1,368","1,297",405,318,"1,743",10273419,44096,,22143,14778,48166,0.1801,0.1296,0.184,0.1745,0.0545,0.0428,0.2345,5.099770313,9.772521646,8.267417312,12.70922646,9.960275686,45.8092114,"2,614",0.0175
North Dakota,4587,8.4,11976,"2,278","1,458","1,849",335,"2,229",279,"3,548",755393,67305,,2600,1616,6792,0.1902,0.1217,0.1544,0.028,0.1861,0.0233,0.2963,0.061728395,4.293896552,15.31503636,14.32192242,7.452148016,41.4447317,"4,587",0.009
Ohio,2599,5.9,8209,"1,936",815,"1,730",791,510,294,"2,135",11658609,46826,,34453,12596,68223,0.2358,0.0993,0.2107,0.0964,0.0621,0.0358,0.2601,4.498277347,9.126011883,11.73774337,14.45432156,7.67165321,47.4880074,"2,599",0.0183
Oklahoma,2180,5.1,7334,"1,521",921,"1,659",566,658,270,"1,739",3930864,45864,,5044,7186,23262,0.2074,0.1256,0.2262,0.0772,0.0897,0.0368,0.2371,3.139534884,8.170855957,8.810696692,10.55903941,10.15326841,40.8333953,"2,180",0.0187
Oregon,2876,6.4,9352,"1,653","1,067","2,376",901,447,305,"2,604",4142776,49792,,8954,10189,40040,0.1768,0.1141,0.2541,0.0963,0.0478,0.0326,0.2784,5.831180017,9.995848215,9.270935961,13.03966558,4.756090543,42.8937203,"2,876",0.0149
Pennsylvania,2956,5.8,8863,"2,123",748,"2,094",658,724,291,"2,225",12805537,50418,,31942,29001,80234,0.2395,0.0844,0.2363,0.0742,0.0817,0.0328,0.251,7.706000575,9.381617733,11.69927281,15.2736016,8.87768539,52.9381781,"2,956",0.0179
Rhode Island,3083,6.1,9549,"2,219",613,"2,476",243,406,391,"3,202",1059639,47118,,3672,2977,8850,0.2324,0.0642,0.2593,0.0254,0.0425,0.0409,0.3353,5.586419753,8.854326092,10.02533427,16.22051608,7.722248016,48.4088442,"3,083",0.0157
South Carolina,1956,5,7980,"1,707",829,"1,500","1,489",333,236,"1,886",5024369,36796,,7804,8184,24553,0.2139,0.1039,0.188,0.1866,0.0417,0.0296,0.2363,4.771030721,9.563945443,6.32183908,7.517271854,8.266909318,36.4409964,"1,956",0.0186
South Dakota,2103,4.4,7635,"1,654",812,"1,224",355,"1,078",228,"2,286",869666,47706,,1548,1420,4227,0.2166,0.1064,0.1603,0.0465,0.1412,0.0299,0.2994,0.588573069,6.758430049,13.34130894,12.33316978,8.326191303,41.3476731,"2,103",0.0197
Tennessee,2069,4.8,6671,"1,398",595,"1,621",647,341,281,"1,789",6715984,42797,,14162,12261,32840,0.2096,0.0892,0.243,0.097,0.0511,0.0421,0.2682,5.092592593,8.63499308,7.414965986,8.362187488,9.326354676,38.8310938,"2,069",0.0188
Texas,1894,4.2,7522,"1,832","1,015","1,290",780,463,270,"1,874",28304596,54421,,54070,36255,111090,0.2436,0.1349,0.1715,0.1037,0.0616,0.0359,0.2491,6.153459661,10.38462935,3.891156463,11.09050504,6.772647674,38.2923982,"1,894",0.0202
Utah,2525,6.3,7308,"1,480","1,288","1,135",679,398,227,"2,101",3101833,44204,,6274,3890,14283,0.2025,0.1762,0.1553,0.0929,0.0545,0.0311,0.2875,3.81495837,9.578028795,13.42200328,15.10983771,5.761514264,47.6863424,"2,525",0.0189
Vermont,5015,10,11065,"2,549","1,216","2,765",554,"1,189",330,"2,462",623657,43495,,1498,1914,5557,0.2304,0.1099,0.2499,0.0501,0.1075,0.0298,0.2225,4.265719207,5.753290042,16.75768238,17.96470605,8.696934525,53.4383322,"5,015",0.0107
Virginia,2623,5,8226,"1,951",931,"1,375",834,511,275,"2,349",8470020,51716,,20227,10308,50302,0.2372,0.1132,0.1672,0.1014,0.0621,0.0334,0.2856,8.238587425,8.665375921,13.57963875,16.66675676,12.17975584,59.3301147,"2,623",0.0226
Washington,3240,6,9286,"1,854",918,"1,630","1,173",568,259,"2,883",7405743,55780,,19357,12270,44684,0.1997,0.0989,0.1755,0.1263,0.0612,0.0279,0.3105,8.541487224,11.54828957,13.31175229,13.4443409,7.342259254,54.1881292,"3,240",0.0167
